x,y,theta,qz,qw,cmd_v,cmd_om
-2.342696814612228e-05,0.00012928514555931916,1.5711036753880445,0.7213923172976316,0.6924982541129854,0.0018700227332421801,0.0
6.155598486577325e-06,-2.73333237601948e-05,1.5707128496029759,0.7212563272817604,0.6926385835358523,0.008779413455431661,0.0
-2.3499924551309406e-05,0.0003457735269688432,1.5715021686884667,0.7215313650721796,0.6923555460622066,0.010997103527188301,0.0
4.701997857678122e-05,0.0003734608225236783,1.5731164082344733,0.722086653970911,0.6917698070511297,0.010997103527188301,0.0
5.302631754035539e-05,0.0004983375335959596,1.573670120690444,0.7222773618998112,0.6915691143769243,0.010997103527188301,0.0
5.004357521441956e-05,0.0005475948251686173,1.5737599410404675,0.7223080131267507,0.6915362869071064,0.01634042251526137,0.0
4.706083288848373e-05,0.0005968521167412752,1.573849761390491,0.7223386643536903,0.6915034594372885,0.021968678687866942,0.0
4.40780905625479e-05,0.000646109408313933,1.5739395817405144,0.7223693155806299,0.6914706319674707,0.028963526782897313,0.0
1.5100732515218094e-05,0.004341638773725099,1.571492042347777,0.7215291281291272,0.6923604166913745,0.03619965201331292,0.0
-0.00013074524109120875,0.005084512185522422,1.5722619523720738,0.721795163763267,0.6920821886630918,0.0553602654964109,0.0
-0.00025261765292690266,0.0060775113929255505,1.5739091343849096,0.7223603012327908,0.6914830794480373,0.07172220989828662,0.0
-0.000865295609553182,0.008197229006561307,1.570930142679415,0.7213318353578985,0.6925604666243127,0.07659211538603247,0.0
-0.0009169570840924223,0.010093998145690501,1.570436342395177,0.7211543299958955,0.692732308177198,0.08045493285855641,0.0
-0.0009178580163920894,0.011263582708593345,1.57056360667385,0.7211982468442601,0.6926862647326886,0.08144667744636536,0.0
-0.0007756834378748814,0.011295975995690821,1.5713591718374929,0.7214723589739626,0.6923980173871086,0.08256613998628995,0.0
-0.0006335088593576735,0.0113283692827883,1.5721547370011355,0.7217464711036651,0.6921097700415287,0.0908116504589797,0.0
-0.0004913342808404656,0.011360762569885776,1.5729503021647784,0.7220205832333675,0.6918215226959489,0.09615607175155516,0.0
-0.0017452353285215764,0.026288365149606665,1.5722733411348548,0.7217998408868297,0.6920787844032391,0.10639875208119567,0.0
-0.0012172605597137972,0.028534151344248002,1.5754279832399785,0.7228841406967434,0.6909332642175521,0.11390552520291727,0.0
-0.0012982342250281327,0.03135051036636419,1.5748318615766939,0.7226742162841211,0.6911449171876564,0.1628348596789517,0.0
-0.0014191572029855274,0.03520880988601899,1.5744093469467717,0.7225266401834475,0.6912960901415021,0.16825752614840897,0.0
0.00024493733903763806,0.03923899775306646,1.588750401349772,0.7274328376370285,0.6860671508417179,0.18407333618180058,0.0
-0.00020921425949731388,0.04167869656414436,1.5853101977553716,0.7262582875143827,0.6873237342163151,0.18919306993484497,0.0
-0.000902241792247345,0.04250566655519874,1.580257839066686,0.7245263030380786,0.6891625815813822,0.18919306993484497,0.0
-0.001595269324997376,0.04333263654625311,1.5752054803780005,0.7227943185617746,0.6910014289464493,0.18708122147040965,0.0
-0.001589181728796614,0.05821424786989987,1.5786261035516904,0.7239901632700171,0.6897784422326388,0.18682917050479259,0.0
-0.00269047252123213,0.07276245376129338,1.575262457699524,0.7228332477835835,0.6909991072710802,0.18679281848854154,0.0
-0.003124307444234562,0.07979212156755751,1.572229504659636,0.7217837869239014,0.6920937560522665,0.18919306993484497,0.0
-0.0032400006539017845,0.08564728075176739,1.5729883974235104,0.7220463466869956,0.6918198277756198,0.18919306993484497,0.0
-0.00361706992386362,0.09139966137447325,1.5722633612254615,0.7217931944519508,0.6920793270161902,0.18919306993484497,0.0
-0.00406733531339846,0.09713880486998108,1.569203626854929,0.7207373900193573,0.6931864461913886,0.18919306993484497,0.0
-0.0036445971059753455,0.1012568160096531,1.574214673000415,0.7224635915889998,0.6913704762550071,0.18919306993484497,0.0
-0.0036628488854547497,0.10174015507472724,1.5743561296060058,0.7225127033355899,0.6913195806921724,0.18603692196041255,0.0
-0.0036811005344552575,0.10222349068449182,1.574497585200347,0.7225618147310885,0.6912686854931814,0.18090489506721497,0.0
-0.0036993521834557653,0.10270682629425641,1.5746390407946884,0.7226109261265871,0.6912177902941905,0.18090489506721497,0.0
-0.004578941969914919,0.12850769478830265,1.5724046798664382,0.7218433058488599,0.6920294829981963,0.18090489506721497,0.0
-0.005161939295407169,0.13449920379389396,1.5702028859442778,0.7210811725345627,0.6928238884278117,0.1765015321227948,0.0
-0.005242947525549163,0.13967999244112647,1.5712616683737026,0.7214459547781764,0.6924402428697062,0.16761385146058289,0.0
-0.0058350071399158356,0.14626770399017008,1.5686121141639102,0.7205324501740482,0.6933996802698056,0.16018442809581757,0.0
-0.005612196605859365,0.15119547941678574,1.5708274693891748,0.7212971132816903,0.6925982961063782,0.16018442809581757,0.0
-0.005787390278031348,0.15668650469664258,1.5695309295552207,0.7208427178188017,0.6930606947935642,0.16018442809581757,0.0
-0.00595655989961541,0.15733179760358396,1.5687883730151502,0.7205860376271161,0.6933289434806836,0.16018442809581757,0.0
-0.006125903670467796,0.15797465154347817,1.5680476876440665,0.7203300125650558,0.6935965242063047,0.1620725150946826,0.0
-0.006295247441320182,0.15861750548337236,1.5673070022729831,0.7200739875029954,0.6938641049319256,0.16432851552963257,-0.0032030651373317776
-0.006438994204919018,0.1769100193091423,1.5704310458727282,0.7211530246007946,0.6927347262291206,0.16432851552963257,-0.013927013408178708
-0.006621459219594349,0.1820140567884515,1.572282836684515,0.7217992430317304,0.692071633684103,0.16432851552963257,-0.03858916847862603
-0.006970285428239508,0.18908778340997603,1.5728913104027349,0.7220098629504463,0.691852099199982,0.167308019575379,-0.06437213413399831
